,Date,Temperature,Pressure
107,2024-04-17 22:00:00,3.85751104,451.575488
108,2024-04-17 23:00:00,6.07900672,702.860992
109,2024-04-18 00:00:00,5.40408384,669.378816
110,2024-04-18 01:00:00,3.99101984,892.75968
111,2024-04-18 02:00:00,4.23156,844.033408
112,2024-04-18 03:00:00,6.2780128,753.425152
113,2024-04-18 04:00:00,5.04519904,865.954688
114,2024-04-18 05:00:00,8.1437184,824.557888
115,2024-04-18 06:00:00,4.8776144,817.573248
116,2024-04-18 07:00:00,8.3933088,1070.797248
117,2024-04-18 08:00:00,8.41449728,887.414912
118,2024-04-18 09:00:00,8.05451712,1036.435776
119,2024-04-18 10:00:00,6.543648,1067.467072
120,2024-04-18 11:00:00,6.45037184,649.529984
121,2024-04-18 12:00:00,3.73384,671.844032
122,2024-04-18 13:00:00,6.9409152,810.791424
123,2024-04-18 14:00:00,3.36563936,885.655872
124,2024-04-18 15:00:00,7.21778176,779.360768
125,2024-04-18 16:00:00,5.33684096,788.262784
126,2024-04-18 17:00:00,6.43210496,705.6224
127,2024-04-18 18:00:00,4.44339584,861.32128
128,2024-04-18 19:00:00,6.617888,981.439232
129,2024-04-18 20:00:00,2.28524048,891.863168
130,2024-04-18 21:00:00,3.46225152,667.33952
131,2024-04-18 22:00:00,3.64843584,495.897344
132,2024-04-18 23:00:00,5.93139456,793.923648
133,2024-04-19 00:00:00,5.39510912,748.59552
134,2024-04-19 01:00:00,4.57759904,906.413888
135,2024-04-19 02:00:00,4.7183312,873.001216
136,2024-04-19 03:00:00,6.79369856,737.289216
137,2024-04-19 04:00:00,4.77747712,883.983744
138,2024-04-19 05:00:00,7.44628992,879.46304
139,2024-04-19 06:00:00,3.92833632,982.654208
140,2024-04-19 07:00:00,7.62313792,1137.747968
141,2024-04-19 08:00:00,7.7634944,987.916672
142,2024-04-19 09:00:00,7.9657216,1140.72
143,2024-04-19 10:00:00,5.43895104,1142.036352
144,2024-04-19 11:00:00,6.52254208,628.737344
145,2024-04-19 12:00:00,3.94057984,644.410496
146,2024-04-19 13:00:00,6.99422336,810.596672
147,2024-04-19 14:00:00,3.75332672,866.78528
148,2024-04-19 15:00:00,7.37271872,758.033536
149,2024-04-19 16:00:00,5.70434688,756.020736
150,2024-04-19 17:00:00,6.68787072,682.12192
151,2024-04-19 18:00:00,4.79485696,828.389824
152,2024-04-19 19:00:00,6.77164416,973.06048
153,2024-04-19 20:00:00,2.68805056,868.386624
154,2024-04-19 21:00:00,3.88666496,655.7408
155,2024-04-19 22:00:00,3.91235936,478.726336
156,2024-04-19 23:00:00,6.30368064,774.592576
157,2024-04-20 00:00:00,5.4767392,749.162304
158,2024-04-20 01:00:00,4.67538432,907.13504
159,2024-04-20 02:00:00,4.77272608,880.630336
160,2024-04-20 03:00:00,6.7887872,742.909056
161,2024-04-20 04:00:00,4.85045152,897.91904
162,2024-04-20 05:00:00,7.37791168,881.82912
