Date,Temperature,Pressure
2016-04-23 02:00:00,12.060529,1011.25
2016-04-23 19:00:00,6.7605286,1014.2
2016-04-24 03:00:00,1.4105287,1015.35
2016-04-24 12:00:00,7.7105284,1015.8
2016-04-25 02:00:00,1.6005287,1015.5
2016-04-25 12:00:00,9.090529,1010.45
2016-04-26 12:00:00,3.9705286,1011.0
2016-04-28 09:00:00,8.970529,1015.95
2016-04-29 13:00:00,14.330529,1016.85
2016-04-30 00:00:00,8.520529,1015.65
2016-04-30 08:00:00,14.030529,1014.5
2016-04-30 19:00:00,8.740529,1017.6500000000001
2016-05-02 11:00:00,14.980529,1023.8
2016-05-03 21:00:00,9.390529,1027.9
2016-05-04 05:00:00,4.1005287,1028.55
2016-05-04 08:00:00,10.400529,1026.75
2016-05-04 14:00:00,15.600529,1024.85
2016-05-04 21:00:00,10.460529,1024.5
2016-05-05 02:00:00,5.0705285,1023.25
2016-05-05 08:00:00,12.3005295,1020.0
2016-05-05 12:00:00,17.840528,1017.25
2016-05-05 21:00:00,12.610529,1016.15
2016-05-06 10:00:00,18.840528,1014.4
2016-05-06 23:00:00,12.980529,1012.3
2016-05-07 09:00:00,18.55053,1011.45
2016-05-07 23:00:00,12.760529,1011.4
2016-05-08 09:00:00,17.990528,1009.85
2016-05-08 14:00:00,23.410528,1008.0
2016-05-08 19:00:00,17.54053,1009.0
2016-05-08 23:00:00,11.420529,1011.2
2016-05-09 09:00:00,17.500528,1011.6500000000001
2016-05-09 15:00:00,22.690529,1010.7
2016-05-09 22:00:00,16.80053,1009.2
2016-05-10 11:00:00,22.38053,1008.1
2016-05-10 21:00:00,16.860529,1007.5
2016-05-11 03:00:00,11.210529,1006.0999999999999
2016-05-11 08:00:00,16.22053,1009.65
2016-05-14 20:00:00,11.010529,1016.3
2016-05-15 03:00:00,5.7805285,1019.7
2016-05-15 12:00:00,11.230529,1021.5999999999999
2016-05-16 00:00:00,5.2805285,1021.3499999999999
2016-05-16 07:00:00,10.560529,1019.55
2016-05-17 12:00:00,16.13053,1017.8499999999999
2016-05-17 23:00:00,10.120529,1015.0
2016-05-18 08:00:00,15.470529,1010.85
2016-05-19 03:00:00,10.180529,1014.8
2016-05-20 04:00:00,4.9605284,1020.9
2016-05-20 07:00:00,11.190529,1020.0999999999999
2016-05-20 11:00:00,16.830528,1018.9
2016-05-21 04:00:00,11.720529,1017.95
2016-05-21 08:00:00,17.45053,1016.7
2016-05-21 12:00:00,22.990528,1014.75
2016-05-21 21:00:00,17.590528,1011.25
2016-05-22 10:00:00,24.07053,1008.8499999999999
2016-05-22 18:00:00,18.87053,1009.9
2016-05-22 22:00:00,13.760529,1012.85
2016-05-24 04:00:00,8.680529,1014.9000000000001
2016-05-24 12:00:00,14.990529,1014.35
2016-05-24 22:00:00,9.840529,1013.1
2016-05-25 08:00:00,14.860529,1012.25
2016-05-25 12:00:00,19.910528,1012.8
2016-05-26 01:00:00,14.640529,1013.05
2016-05-26 09:00:00,21.07053,1012.9
2016-05-27 01:00:00,15.760529,1012.8499999999999
2016-05-27 08:00:00,21.440529,1012.7
2016-05-28 00:00:00,15.770529,1012.3
2016-05-28 08:00:00,21.100529,1008.2
2016-05-29 02:00:00,15.350529,1011.2
2016-06-06 11:00:00,20.410528,1018.95
2016-06-08 01:00:00,14.400529,1019.8
2016-06-08 12:00:00,19.670528,1017.95
2016-06-09 03:00:00,14.430529,1015.85
2016-06-09 11:00:00,20.250528,1014.55
2016-06-09 23:00:00,14.750529,1011.95
2016-06-10 10:00:00,20.57053,1008.8
2016-06-11 04:00:00,15.320529,1005.15
2016-06-15 00:00:00,9.750529,1001.25
2016-06-15 08:00:00,15.700529,1011.75
2016-06-20 00:00:00,10.5505295,1022.15
2016-06-20 09:00:00,16.40053,1020.0
2016-06-20 13:00:00,21.45053,1019.5
2016-06-21 01:00:00,15.640529,1020.3499999999999
2016-06-22 08:00:00,20.850529,1020.8499999999999
2016-06-22 12:00:00,27.760529,1020.2
2016-06-22 22:00:00,22.38053,1018.1500000000001
2016-06-23 10:00:00,27.72053,1016.1500000000001
2016-06-24 02:00:00,22.660528,1015.25
2016-06-24 09:00:00,28.29053,1014.75
2016-06-24 20:00:00,23.190529,1015.1
2016-06-25 19:00:00,17.54053,1016.95
2016-06-26 01:00:00,12.480529,1017.65
2016-06-26 10:00:00,17.95053,1018.2
2016-06-27 02:00:00,12.240529,1019.15
2016-06-27 09:00:00,18.12053,1018.75
2016-06-28 03:00:00,13.030529,1018.0
2016-06-28 08:00:00,18.850529,1015.3
2016-06-29 14:00:00,24.21053,1012.6500000000001
2016-06-29 23:00:00,18.96053,1014.0
2016-07-01 12:00:00,24.770529,1014.4
2016-07-02 02:00:00,19.56053,1016.4
2016-07-03 00:00:00,14.560529,1019.05
2016-07-03 11:00:00,19.760529,1019.05
2016-07-04 00:00:00,14.620529,1018.8
2016-07-04 09:00:00,20.010529,1017.0
2016-07-05 13:00:00,25.05053,1016.55
2016-07-05 20:00:00,20.04053,1017.7
2016-07-07 02:00:00,14.8005295,1018.2
2016-07-07 09:00:00,20.82053,1016.25
2016-07-08 10:00:00,25.920528,1016.3
2016-07-08 23:00:00,19.72053,1017.55
2016-07-09 11:00:00,25.440529,1016.5
2016-07-09 23:00:00,20.39053,1013.9
2016-07-10 09:00:00,25.910528,1011.4
2016-07-10 14:00:00,31.37053,1010.3
2016-07-10 22:00:00,25.96053,1009.8
2016-07-11 03:00:00,19.82053,1009.5999999999999
2016-07-11 07:00:00,24.87053,1010.5
2016-07-12 02:00:00,19.73053,1012.6
2016-07-13 01:00:00,14.610529,1017.95
2016-07-16 11:00:00,19.760529,1021.95
2016-07-17 02:00:00,14.170529,1021.05
2016-07-17 08:00:00,20.680529,1020.1
2016-07-17 13:00:00,26.31053,1019.45
2016-07-17 22:00:00,20.07053,1018.6
2016-07-18 10:00:00,25.55053,1018.7
2016-07-18 23:00:00,20.15053,1018.3499999999999
2016-07-19 09:00:00,25.79053,1016.0999999999999
2016-07-20 02:00:00,20.740528,1014.0999999999999
2016-07-20 09:00:00,27.010529,1013.0999999999999
2016-07-20 13:00:00,32.450527,1011.95
